"종류","문제","보기1","보기2","보기3","보기4","정답","해설"
"ox","온실효과는 지구의 대기가 지구 표면으로부터 나오는 에너지를 흡수하는 효과를 의미한다. 적당한 온실효과는 지구의 온도를 15℃ 정도로 적절하게 유지하여 생명체가 살 수 있는 환경으로 만들어 준다.","O","X","","","O","온실효과는 지구의 대기가 지구 표면으로부터 나오는 에너지를 흡수하는 효과를 의미한다. 지구 대기에는 온실효과를 돕는 온실 가스가 적절하게 존재하고 있다. 적당한 온실효과는 지구의 온도를 15℃ 정도로 적절하게 유지하여 생명체가 살 수 있는 환경으로 만들어 준다."
"ox","신재생에너지 중에서 태양열을 이용하여 냉난방 및 온수를 생산하는 기술을 화력 발전이라고 한다.","O","X","","","X","태양의 빛에너지를 전기로 바꾸는 기술이 태양광 발전, 태양의 열 에너지를 이용하여 집을 따뜻하게 하거나 물을 데우는 데 사용하는 기술이 태양열 발전이다."
"ox","독도에는 기후변화 감시소가 있어 온실가스 농도를 측정할 수 있다.","O","X","","","O","기상청은 충남 안면도, 제주도 고산, 울릉도 독도에서 온실가스, 반응가스, 에어로졸 등 37개 요소를 관측하여 한반도의 기후변화를 감시하고 있다."
"ox","기후는 시간의 흐름에 따른 자연적인 요인의 영향만 받아 평균적인 날씨 패턴이 변화하였다.","O","X","","","X","기후는 오랜 시간에 걸쳐서 변하는데, 기후를 바꾸는 원인으로는 자연적 원인과 인위적 원인이 있다. 자연적 원인에는 태양 활동, 화산폭발 등이 있다."
"ox","온실효과는 지구에 부정적인 영향만을 미치기 때문에 온실가스를 없앨 수 있도록 노력해야 한다.","O","X","","","X","적당한 온실효과는 지구의 온도를 15℃ 정도로 적절하게 유지하여 생명체가 살 수 있는 환경으로 만들어 준다. 이러한 효과를 자연적 온실효과라고 한다."
"ox","미래에 지구의 온도가 상승하면 해수면 상승으로 뉴욕, 도쿄 등의 도시가 물에 잠길 수 있다.","O","X","","","O","전 지구 평균기온이 5℃ 상승하면 이에 따른 해수면 상승으로 인해 작은 섬들과 뉴욕, 도쿄 등의 도시 자체가 없어지게 될 것으로 예상하고 있다."
"ox","우리나라의 온실가스의 배출량은 내가 아닌 국가기관의 노력 여부에 따라서 결정된다.","O","X","","","X","국가 기관뿐만 아니라 우리 모두가 에너지와 자원을 절약하고 친환경 제품을 사용하고 나무를 심고 가꾸는 등 주변의 작은 것부터 실천한다면 온실가스를 줄일 수 있다."
"ox","기후변화에 대응하기 위한 전 세계적인 노력의 차원에서 IPCC(기후변화에 관한 정부간 협의체)를 설립하였다.","O","X","","","O","세계기상기구와 유엔환경계획은 지구환경에 대한 대응 방안을 마련하기 위해 기후변화에 관한 정부 간 협의체(IPCC)를 설립하였다."
"ox","우리나라는 IPCC(기후변화에 관한 정부간 협의체) 활동으로 제48차 IPCC 총회를 인천광역시에서 개최하였다.","O","X","","","O","우리나라는 지난 2018년 제48차 IPCC 총회를 인천광역시에서 개최하였으며 지구온난화 1.5℃ 특별보고서가 인천에서 승인되었다."
"ox","황사는 미세먼지와 동일한 성분으로 자동차 운행이나 공장의 화석연료 사용뿐만이 아니라 산불이나 화전 경작 등으로도 발생하는 10㎛(마이크로미터) 이하의 입자들을 의미한다.","O","X","","","X","자동차 운행이나 공장 화석연료 등으로 발생하는 것은 미세먼지라 하며, 황사는 사막 지역 등에서 부는 강한 바람으로 인해 날아오는 흙먼지를 의미한다."
"mcq","다음 중 세계 기상의 날은 언제일까요?","3월 1일","3월 10일","3월 23일","4월 23일","3월 23일","세계 기상의 날은 세계 기상 기구가 국제 연합의 전문 기구로 지정된 지 10주년을 기념하기 위해 제정되었으며, 매년 3월 23일 개최된다."
"mcq","탄소중립이란 인간의 활동에 의한 온실가스 배출을 최대한 줄이고 실질적인 배출량이 0이 되는 개념이다. 탄소중립 방안으로 알맞지 않은 것은 무엇일까요?","청정에너지와 에너지 효율 개선","산림복원","음식물 쓰레기 감량","대중교통을 자제하고 자가용 이용","대중교통을 자제하고 자가용 이용","탄소중립을 위한 방안으로 친환경 자동차로 전환, 대중교통 증가 등이 있다. 자가용 이용은 올바른 방안이 아니다."
"mcq","이것은 태양에서 날아온 전기를 띠고 있는 입자가 지구 자기장과 상호작용하여 극지방 상층 대기에서 일어나는 대규모 방전현상으로 극지방에서 관측이 쉽기 때문에 극광이라고한다. 이것은 무엇일까요?","오로라","오존","프레이아","프쉬케","오로라","오로라는 태양에서 방출된 플라스마 입자가 지구 대기권의 자기장과 마찰하며 빛을 내는 광전 현상으로 천상의 커튼이라고도 불린다."
"mcq","유엔의 보고서에서는 개개인의 이것 소비를 조금만 줄여도 기후변화에 큰 도움이 될 것이라고 말했다. 단백질과 지방 등 필수 영양소의 주요 공급원인 이것은 무엇일까요?","육류","물","채소","버섯","육류","개개인이 고기 섭취를 줄인다면 더 적은 양의 토지로 더 많은 양의 식량을 생산할 수 있어 온난화 가속을 늦출 수 있다."
"mcq","이것은 비와 눈이 섞여서 내리는 기상현상으로, 눈 또는 비로 변하는 경우가 많은 매우 불안정한 상태의 강수현상 이다. 이것의 이름은 무엇일까요?","함박눈","날린눈","우박","진눈깨비","진눈깨비","빗방울이 얼거나 부분적으로 녹은 눈송이가 다시 얼어서 만들어진다. 지표면 근처에 있는 어는점 아래의 공기층을 지나면서 진눈깨비로 바뀐다."
"mcq","이 현상은 바람이 산 표면에 닿아 그 바람이 산을 넘어 하강 기류로 내려와 따뜻하고 건조한 바람에 의해 그 부근의 기온이 오르는 현상이다. 우리나라에서는 높새바람으로 나타나는 이 현상은 무엇일까요?","안개 현상","한파 현상","폭염 현상","푄 현상","푄 현상","바람이 산을 넘어 하강 기류로 내려와 따뜻하고 건조한 바람에 의해 부근 기온이 오르는 현상을 말한다."
"mcq","열대 기후 지역에서 내리는 대류성 강수로, 짧은 시간에 집중적으로 쏟아지는 소나기를 지칭하는 말은 무엇일까요?","스콜","집중호우","장대비","사이클론","스콜","일광에 의해 지표가 가열되면서 나타나는 대류현상에 의해 발생하는 열대 지방의 소나기다."
"mcq","해수욕장 불청객이라 불리는 이것은 해안으로 밀려오는 파도가 갑자기 먼 바다 쪽으로 빠르게 되돌아가는 해류이다. 이것은 무엇일까요?","삼안류","이안류","백안류","겨울파도","이안류","기상청에서는 이안류에 대한 예측정보를 4단계(안전, 주의, 경계, 위험)로 나누어 주요 해수욕장에 대해 제공하고 있다."
"mcq","1958년부터 남극과 하와이 마우나로아 관측소에서 측정하고 있는 이산화탄소 농도를 그래프로 만든 것으로, 처음 이산화탄소 농도를 측정한 사람의 이름을 따서 지은 이 곡선은 무엇일까요?","하트곡선","킬러곡선","킬링곡선","캘린더곡선","킬링곡선","찰스 데이비드 킬링은 1958년부터 매일 이산화탄소를 측정해왔으며, 매년 증가하는 것을 발견하였다."
"mcq","기상재해로부터 국민의 안전을 위해 날씨, 기후변화 과학정보 등 국가기상업무를 관장하고 지원하는 우리나라 국가기관은 무엇일까요?","산림청","기상청","환경부","여성가족부","기상청","기상청에서는 날씨, 기후변화 과학정보 등 국가기상업무를 관장하고, 지원하는 국가기관이다."
"short","지구는 여러 종류의 기체로 둘러싸여 있는데 이러한 두꺼운 공기층을 무엇이라고 할까요?","","","","","대기","우리는 이러한 두꺼운 공기층을 대기라고 한다. 이러한 대기는 질소 78%, 산소 21%, 이산화탄소 0.03% 등으로 구성되어 있다."
"short","일종의 막과 같은 역할을 하여 지구의 온도를 따뜻하게 유지하는 기체를 무엇이라고 할까요?","","","","","온실가스","온실가스란 일종의 막과 같은 역할을 하여 지구 밖으로 날아가는 에너지를 붙잡아서 흡수하기 때문에 지구를 따뜻하게 지켜준다."
"short","한 여름밤에 제일 낮은 기온이 25℃ 이상인 무더위로 잠들기 어려운 밤을 무엇이라고 할까요?","","","","","열대야","열대야는 농촌보다 도시 지역에서 많이 나타나는데 사람, 건물, 공장 등에서 인공 열이 발생하기 때문이다."
"short","조선 시대에 강우량 분포를 측정하던 기구로, 조선 세종 때 처음 제작하여 전국에 보급 시행하였으며 조선 시대 전반에 걸쳐 활용되었던 우량 관측기구의 이름은 무엇일까요?","","","","","측우기","1441년 세종 23년에 발명된 세계 최초의 우량계로서 이탈리아보다 198년이나 먼저 만들어졌다."
"short","인간 활동이나 자연적인 원인으로 오랜 기간 동안 유지되어 왔던 기상현상이 평균 상태를 벗어나는 것을 가리키는 말은 무엇일까요?","","","","","기후변화","자연적인 기후변동의 범위를 벗어나 더 이상 평균적인 상태로 돌아오지 않는 기후체계의 변화를 기후변화라고 한다."
"short","최근 지구온난화의 원인 중 하나인 메탄 주범으로 대두된 이 동물은 무엇일까요? 이 동물이 내뿜는 메테인은 하루에 800L에서 1000L에 달한다고 한다.","","","","","소","소가 소화하는 과정에서 많은 양의 메테인을 배출한다. 전 세계 온실가스의 18%는 가축에게서 나오는 메탄이다."
"short","온실가스 배출을 줄이기 위한 구체적인 계획과 의무들을 명기한 기후변화협약의 결과로 1997년 일본에서 채택되었고, 이후 파리협정이 이것을 대체하게 되었다. 이것은 무엇일까요?","","","","","교토의정서","교토의정서는 산업화된 국가들의 의무 감축목표를 설정하고 있으며, 구체적이지 못했던 온실가스 목표량을 구체화 한 파리협정이 출범하기 전까지 지속되었다."
"short","기상현상 중 하나로 순우리말로 누리라고도 하며 대기가 불안정하여 적란운에서 떨어지는 불규칙한 얼음 알갱이나 덩어리는 무엇일까요?","","","","","우박","우박은 하늘에서 눈의 결정 주위에 차가운 물방울이 얼어붙어 땅 위로 떨어지는 얼음덩이를 말한다."
"short","엘니뇨의 반대 현상으로 여자아이라는 뜻을 가지고 있으며 중동 태평양의 해수면 온도가 평상시보다 낮아지고 무역풍이 강해지는 현상을 의미하는 이 단어는 무엇일까요?","","","","","라니냐","엘리뇨와 라니냐는 대기와 해양의 흐름으로 지구 기상 기후에 영향을 미친다."
"short","프랑스 하원은 기후위기에 이 배출량이 높은 이동수단인 비행기 운항을 축소하고자 열차로 2시간 30분 이내로 이동 가능한 거리의 항공편을 금지하는 법안을 통과시켰다. 여기서 감소시키고자 한 것은 무엇일까요?","","","","","탄소배출","기차에 비교했을 때 비행기의 탄소 배출량은 3배에 달한다."